nombre_proyecto,desarrolladora,ciudad,estado_republica,zona,tipo_desarrollo,tipo_unidades,rango_precios,num_unidades,fecha_entrega_estimada,etapa,url_fuente,portal_fuente,fecha_deteccion,notas
Antillas 408,,Ciudad de México,CDMX,Portales,Residencial,Departamentos,"Desde $3,698,452 MXN",,2026-Q2,Preventa,https://www.lahaus.mx/pd/ciudad-de-mexico/antillas-408,La Haus,2026-03-12,
Hauspace,,Ciudad de México,CDMX,Granada,Residencial,Departamentos,"Desde $2,797,700 MXN",,2028-Q1,Preventa,https://www.lahaus.mx/pd/ciudad-de-mexico/hauspace,La Haus,2026-03-12,
Magnolia Chapultepec,,Ciudad de México,CDMX,Centro,Residencial,Departamentos,"Desde $2,390,021 MXN",,2026-Q1,Preventa,https://www.lahaus.mx/pd/ciudad-de-mexico/magnolia-chapultepec,La Haus,2026-03-12,
Punto Chapultepec,,Ciudad de México,CDMX,Roma Norte,Residencial,Departamentos,"Desde $2,519,055 MXN",81,2025-Q4,Preventa,https://www.lahaus.mx/pd/ciudad-de-mexico/punto-chapultepec,La Haus,2026-03-12,
Mapimi 41,,Ciudad de México,CDMX,Valle Gómez,Residencial,Departamentos,"Desde $1,763,575 MXN",47,,Preventa,https://www.lahaus.mx/pd/ciudad-de-mexico/mapimi-41,La Haus,2026-03-12,
Casa Londres,,Ciudad de México,CDMX,Juárez,Residencial Plus,Departamentos,"Desde $4,223,820 MXN",72,,Preventa,https://www.lahaus.mx/pd/ciudad-de-mexico/casa-londres,La Haus,2026-03-12,
Blum Santa Fe,Geometrica Developers,Ciudad de México,CDMX,San Gabriel (Santa Fe),Residencial Plus,Departamentos,"Desde $3,639,000 MXN",,,Preventa,https://www.lahaus.mx/pd/ciudad-de-mexico/blum-santa-fe,La Haus,2026-03-12,Desarrolladora: Geometrica Developers
Splendor Coyoacán,,Ciudad de México,CDMX,Gral. Pedro María Anaya,Residencial Plus,Departamentos,"Desde $4,924,100 MXN",,2026-Q4,En construcción,https://www.lahaus.mx/pd/ciudad-de-mexico/splendor-coyoacan,La Haus,2026-03-12,
Palenque 334,,Ciudad de México,CDMX,Narvarte,Residencial Plus,Departamentos,"Desde $6,769,202 MXN",,2026-Q1,Preventa,https://www.lahaus.mx/pd/ciudad-de-mexico/palenque-334,La Haus,2026-03-12,Segmento premium
Casa Roma 151,,Ciudad de México,CDMX,Roma,Residencial Plus,Departamentos,"Desde $5,649,098 MXN",36,,Preventa,https://www.lahaus.mx/pd/ciudad-de-mexico/casa-roma-151,La Haus,2026-03-12,
Oklahoma 65,,Ciudad de México,CDMX,Nápoles,Premium,Departamentos,"Desde $8,721,000 MXN",,2025-Q1,En construcción,https://www.lahaus.mx/pd/ciudad-de-mexico/oklahoma-65,La Haus,2026-03-12,"Zona Nápoles, segmento premium"
Flores Magón 98,,Ciudad de México,CDMX,Guerrero,Residencial,Departamentos/Lofts,"Desde $3,041,955 MXN",40,,Preventa,https://www.lahaus.mx/pd/ciudad-de-mexico/desarrollo-ricardo-flores-magon-98-departamentos,La Haus,2026-03-12,
Lináloe 26,,Ciudad de México,CDMX,Santa María Insurgentes,Residencial,Departamentos,"Desde $1,646,430 MXN",,2026-Q2,Preventa,https://www.lahaus.mx/pd/ciudad-de-mexico/linaloe-26,La Haus,2026-03-12,Precio accesible
Thompson Residences,,Cancún,Quintana Roo,Puerto Cancún,Turístico,Departamentos,Premium,,2028-Q3,Preventa,https://www.behome.mx/propiedad/thompson-residences-puerto-cancun-cancun-qroo/,Behome,2026-03-12,"Puerto Cancún, branded residences"
Mayakoba Country Club,,Playa del Carmen,Quintana Roo,Riviera Maya,Turístico,Lotes,"Desde $2,900,000 MXN",,2027-Q4,Preventa,https://www.behome.mx/propiedad/mayakoba-country-club-riviera-maya-playa-del-carmen-qroo/,Behome,2026-03-12,Lotes residenciales en Mayakoba
Valle Aurora Cancún,,Cancún,Quintana Roo,,Residencial,Departamentos,"Desde $2,450,040 MXN",,2026-Q1,En construcción,https://www.behome.mx/propiedad/valle-aurora-cancun-cancun-qroo/,Behome,2026-03-12,
Koi,,Monterrey,Nuevo León,San Pedro,Premium,Departamentos,"$139,000-$245,000 MXN/m2",,,Preventa,https://monterreyskyline.com/preventas-en-monterrey-precio-por-mt2/,Monterrey Skyline,2026-03-12,Zona premium San Pedro Garza García
Dualia,,Monterrey,Nuevo León,Centro/Cintermex,Residencial,Departamentos,"$48,000-$100,000 MXN/m2",,,Preventa,https://monterreyskyline.com/preventas-en-monterrey-precio-por-mt2/,Monterrey Skyline,2026-03-12,Preventas iniciales
Lítica,,Monterrey,Nuevo León,Zona Tec,Residencial Plus,Departamentos,"$92,000-$107,000 MXN/m2",,,En construcción,https://monterreyskyline.com/preventas-en-monterrey-precio-por-mt2/,Monterrey Skyline,2026-03-12,"Construcción avanzada, cerca del Tec de Monterrey"
Emana,,Monterrey,Nuevo León,San Jerónimo,Residencial,Departamentos,"$69,000-$103,000 MXN/m2",,2028,Preventa,https://monterreyskyline.com/preventas-en-monterrey-precio-por-mt2/,Monterrey Skyline,2026-03-12,"Incluye departamentos y villas, 1-3 recámaras"
West Living,,Monterrey,Nuevo León,Valle Poniente,Residencial,Departamentos,"$64,000-$120,000 MXN/m2",,2027-2028,Preventa,https://monterreyskyline.com/preventas-en-monterrey-precio-por-mt2/,Monterrey Skyline,2026-03-12,"Zona Valle Poniente, junto a West y Azuria"
"Smiljan Radić, ganador del Premio Pritzker 2026",,,,,Residencial,Casas,,,,Preventa,https://centrourbano.com/revista/arquitectura-2/smiljan-radic-pritzker-2026/?utm_source=rss&utm_medium=rss&utm_campaign=smiljan-radic-pritzker-2026,Centro Urbano,2026-03-12,"Fuente: Centro Urbano | Categorías: Arquitectura, arquitectura, Pritzker 2026"
más alta de León,,León,Guanajuato,,Residencial,Lotes,,,,Preventa,https://centrourbano.com/revista/arquitectura-2/benjamin-romano-torre-leon/?utm_source=rss&utm_medium=rss&utm_campaign=benjamin-romano-torre-leon,Centro Urbano,2026-03-12,"Fuente: Centro Urbano | Categorías: Arquitectura, arquitectura, BanBajío"
de la Torre Corporativa de BanBajío,,León,Guanajuato,,Residencial,Departamentos,,,,Preventa,https://inmobiliare.com/torre-corporativa-banbajio-leon-guanajuato/,Inmobiliare Magazine,2026-03-12,"Fuente: Inmobiliare Magazine | Categorías: Noticias, arquitectura, BanBajío"
Desarrollos inmobiliarios en venta - Inmuebles24,,,,,Residencial,Departamentos,,,,Preventa,https://www.inmuebles24.com/desarrollos-o-departamentos-etapa-pre-venta.html,Inmuebles24,2026-03-12,Detectado vía búsqueda web: No pierdas la oportunidad de ser parte de estapreventaexclusiva y asegura tu lugar en estedesarrollo
Desarrollos inmobiliarios en venta - Propiedades e inmuebles,,,,,Residencial,Departamentos,,,,Preventa,https://www.inmuebles24.com/desarrollos-q-preventa.html,Inmuebles24,2026-03-12,Detectado vía búsqueda web: No pierdas la oportunidad de ser parte de estapreventaexclusiva y asegura tu lugar en estedesarrollo
