nombre_proyecto,desarrolladora,ciudad,estado_republica,zona,tipo_desarrollo,tipo_unidades,rango_precios,num_unidades,fecha_entrega_estimada,etapa,url_fuente,portal_fuente,fecha_deteccion,notas
Biosfera by Endemico,EndemicoAlejandra Londono,Tulum,Quintana Roo,Holistika,Residencial,Departamentos,,10,"Apr, 2024",Preventa,https://theredsearch.com/listings/?codigo=CU155D034948,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1wzcahlC8vSiFvQ5bzCP2NysQooJFvBw6
Blanca,SimcaMaria Arcila,Mérida,Yucatán,Carretera Merida - ProgresoYucatan,Residencial,Departamentos,,134,"Oct, 2025",Preventa,https://theredsearch.com/listings/?codigo=CU155D035046,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/u/1/folders/1Psy_gB6_blRHiokC6bmaCfr7M4fb4HKM
Bloom Puerto Aventuras,Puerto Aventuras Real EstateGeraldine Diazhowes,,,PA Gran MarinaPuerto Aventuras,Residencial,Departamentos,,12,"Jul, 2024",Preventa,https://theredsearch.com/listings/?codigo=CU155D033321,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1mmzCpMjGpKUtACBzSXB0GDPVPTBD0ccG
Blu,Benjamin Tallard,Playa del Carmen,Quintana Roo,Zona Esmeralda,Residencial,Departamentos,,3,"Dec, 2023",Preventa,https://theredsearch.com/listings/?codigo=CU155D035146,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1Rf79jPATwzMVqk3UOV6-AIEmhxtcUQQ1
Blue House,GMBXantal Demaret Ausio,,,PA Gran MarinaPuerto Aventuras,Residencial,Departamentos,,20,"Aug, 2021",Preventa,https://theredsearch.com/listings/?codigo=CU155D019922,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/17w7zTbsWQLJGnF9SQqcbHasilMEhEDfa
Blume,Urban HomesVictor Gutierez,Cancún,Quintana Roo,Puerto CancunCancun,Residencial,Departamentos,,2,"Jul, 2021",Preventa,https://theredsearch.com/listings/?codigo=CU155D021241,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1XmVkGrlvLIxS8Lv12ZAJrLku8RONK3WK
BODHI TULUM,Bodhi TulumPatricio Martinez,Tulum,Quintana Roo,Region 15,Residencial,Departamentos,,11,"Jul, 2025",Preventa,https://theredsearch.com/listings/?codigo=CU155D033863,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1nD_Rvf1nfaZuj9snYIeuDVYKc2XaSjGN
Boga,Kelman DesarrollosChristianjosafat Rodriguezgutierrez,,,Telchac PuertoCosta Yucateca,Residencial,Departamentos,,3,"Mar, 2025",Preventa,https://theredsearch.com/listings/?codigo=CU155D041628,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/u/1/folders/1IDEivo2kAlvyW1_E-qD5wNth3L9jbDIX
Boreana,Concepto Master BrokerRosy Aguilar,Mérida,Yucatán,Merida NorteYucatan,Residencial,Departamentos,,32,"Jan, 2024",Preventa,https://theredsearch.com/listings/?codigo=CU155D037222,TheRedSearch,2026-03-13,Info: https://bit.ly/3ZmYZH5
Bosco,EdiforAndres Rivero,Mérida,Yucatán,Merida NorteYucatan,Residencial,Departamentos,,107,"Jan, 2027",Preventa,https://theredsearch.com/listings/?codigo=CU155D041264,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/u/1/folders/1HJghs_qZ2Kf9q5LeZ3jseIM-w1LJFfWf
Bosques Mayakoba,Mayakoba Real EstateRafael Moran,Playa del Carmen,Quintana Roo,Mayakoba,Residencial,Departamentos,,24,"Mar, 2022",Preventa,https://theredsearch.com/listings/?codigo=CU155D018357,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/u/0/folders/1Jfw275c4e-1s0jubr9NHJ2vpdUZOpUNe
Botanica,Caligo Inteligencia InmobiliariaAntonio Gonzalez,,,"PM, DowntownPuerto Morelos",Residencial,Departamentos,,15,"Jul, 2027",Preventa,https://theredsearch.com/listings/?codigo=CU155D051342,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1-atUP8oP063EGGjSP2Cd4LuNuXzXWZz5
Brahma,Be Broker Elite Real EstateCristopher Torres D,Tulum,Quintana Roo,Selva Zama,Residencial,Departamentos,,24,"Jul, 2027",Preventa,https://theredsearch.com/listings/?codigo=CU155D033999,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1xF46AZUDkqmCYm0G8idVKEcPCEPfj7s-
Brezza,Brezza TowersValentina Ras,Cancún,Quintana Roo,MalecónCancun,Residencial,Departamentos,,33,"Dec, 2020",Preventa,https://theredsearch.com/listings/?codigo=CU155D020365,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1TdXzaI1txB_s7b_zfkJZCGxp7bqSGmXC
Brhiza,Proyectos 9,,,PA Gran MarinaPuerto Aventuras,Residencial,Departamentos,,39,"Jun, 2025",Preventa,https://theredsearch.com/listings/?codigo=CU155D027744,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1uGMAX7Kn1LTVHOu19LwTJ5CEfVIBOn4p
Bruna,EdiforAndres Rivero,,,ChelemCosta Yucateca,Residencial,Departamentos,,3,"Dec, 2025",Preventa,https://theredsearch.com/listings/?codigo=CU155D038712,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/u/1/folders/1z1Yd3O4qM4aNgOtJiAaMS2VxLdolMJFJ
Bua,Concepto Master BrokerRosy Aguilar,Mérida,Yucatán,Merida NorteYucatan,Residencial,Departamentos,,14,"Dec, 2025",Preventa,https://theredsearch.com/listings/?codigo=CU155D047175,TheRedSearch,2026-03-13,Info: https://bit.ly/3ZmYZH5
Buzz,Nimbos RealtyDaniela Garcia,Playa del Carmen,Quintana Roo,Little Italy,Residencial,Departamentos,,25,"Dec, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D047297,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1xD_K8nqZ8FtMYkTRBzlKGQymbZ_4L_vv
Calatt,Wall PropertiesFranco Montironi,Playa del Carmen,Quintana Roo,Coco beach,Residencial,Departamentos,,3,"Aug, 2025",Preventa,https://theredsearch.com/listings/?codigo=CU155D046847,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1YLOI6c0RJ4LczVwe9uZ9uhvgTj0DW88G
Calere,195 RE BY RAUL ALBERTICristina Leon,Mérida,Yucatán,Merida PeriferiaYucatan,Residencial,Departamentos,,34,"Jan, 2030",Preventa,https://theredsearch.com/listings/?codigo=CU155D051926,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/u/0/folders/1jgg6zYkElj6JXxZ4FGhFJvs-g8B0ZS_U
Caliza,Caoba listings,Tulum,Quintana Roo,Downtown,Residencial,Departamentos,,8,,Preventa,https://theredsearch.com/listings/?codigo=CU155D035265,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1gqzQd8_DUiHdqVj8VBG_ZmwvMCB8lvS1
Campalia,EdiforAndres Rivero,Mérida,Yucatán,Merida NorteYucatan,Residencial,Departamentos,,4,"Jun, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D052782,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/178q1XWYDugELgv18Yk3jtojHaKVgsyfg
Campo Magno,SimcaMaria Arcila,Mérida,Yucatán,Carretera Merida - ProgresoYucatan,Residencial,Departamentos,,17,,Preventa,https://theredsearch.com/listings/?codigo=CU155D035096,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/19BIOv81DD8-JuoUWx7mu_JypzjmrrBO8
Canea Pure Living,EdiforAndres Rivero,Mérida,Yucatán,Merida NorteYucatan,Residencial,Departamentos,,12,"Mar, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D044302,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1UFRrnnpXjEVwe9bamAZmQO2quZvhjhRD
Canopia villas,EndemicoAlejandra Londono,Tulum,Quintana Roo,Region 8,Residencial,Departamentos,,2,"Feb, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D045808,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1Ze7gAbTDjABX9EGsURPolzOP3vcc-4Ef
Cantori,Concepto Master BrokerRosy Aguilar,Mérida,Yucatán,Merida NorteYucatan,Residencial,Departamentos,,233,"Dec, 2028",Preventa,https://theredsearch.com/listings/?codigo=CU155D044363,TheRedSearch,2026-03-13,Info: https://bit.ly/3ZmYZH5
Cardinal Tulum,BDGP Real EstateLucile Dubaux,Tulum,Quintana Roo,Selva Zama,Residencial,Departamentos,,11,"Jun, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D030118,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1rwNTaZ4bKZgQDzgBNd22NW89KIHbJMwx
Casa Chaak,Debbie Lip,,,PA GolfPuerto Aventuras,Residencial,Departamentos,,6,"Jun, 2025",Preventa,https://theredsearch.com/listings/?codigo=CU155D034098,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1leWR26mjywcLtc8DWrDGyAqFmE6HIOAX
Casa Chichil,Sarah Real EstateJose Alfredo Aguilar,Tulum,Quintana Roo,Aldea Zama,Residencial,Departamentos,,3,"Oct, 2024",Preventa,https://theredsearch.com/listings/?codigo=CU155D034737,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1zq9SS-cbBzdXIwBCe9tbcL2R-1ULu-_o
Casa de Piedra,Select Realty Mexico,Playa del Carmen,Quintana Roo,Playacar II,Residencial,Departamentos,,6,"Mar, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D041054,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1jwZOEow__aTmzWzIJf-UZmKGY0_XglDi
Casa emilia,Malva RealtyAna Romo,Tulum,Quintana Roo,Veleta,Residencial,Departamentos,,3,"May, 2025",Preventa,https://theredsearch.com/listings/?codigo=CU155D038848,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1rvEkdQM-YpovVSH6pSwYGYPaVIvszs_m
Casa Habanero,Habanero LivingSantiago Huacuja Mena,Playa del Carmen,Quintana Roo,Coco beach,Residencial,Departamentos,,2,"Dec, 2024",Preventa,https://theredsearch.com/listings/?codigo=CU155D035308,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1UAvyjTbmUKzkE2jp3LcHlzKCBifjP0l1
Casa Libre - Garden House,livit capital,Tulum,Quintana Roo,Aldea Zama,Residencial,Departamentos,,5,"Mar, 2019",Preventa,https://theredsearch.com/listings/?codigo=CU155D018269,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1Y2SqCXiqvapzkHpLPaH087nkjCq02Nih
Casa Makram,Grupo Urbana Master BrokerGregorio Gonzalez Mendoza,Tulum,Quintana Roo,Region 15,Residencial,Departamentos,,7,"Mar, 2025",Preventa,https://theredsearch.com/listings/?codigo=CU155D032175,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1hV36QQAUF_McL-onG9mPnD1pjWtIEc7v
Casa Mitos,Inmobilia MX,Mérida,Yucatán,Merida NorteYucatan,Residencial,Departamentos,,105,,Preventa,https://theredsearch.com/listings/?codigo=CU155D051777,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/11cbs1hs1-s2e3xhc3NMb7PM_wilMXVFL
Casa Naha,Vante Real EstateMisael Mendoza,Tulum,Quintana Roo,Region 8,Residencial,Departamentos,,12,"Dec, 2027",Preventa,https://theredsearch.com/listings/?codigo=CU155D054844,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1raq6fAR6uNNuuSG5rJWff5b8ELZJgV3z
Casa Toa,Grupo LiberaChris Silveti,,,ChelemCosta Yucateca,Residencial,Departamentos,,5,"Jan, 2027",Preventa,https://theredsearch.com/listings/?codigo=CU155D052342,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1TXobsG7Kjc2hjJg25ADvkmcne4mSvQaE
Casa Xila,Asha RealtySofia Yamamoto,Tulum,Quintana Roo,Tankah Bay,Residencial,Departamentos,,3,"Nov, 2022",Preventa,https://theredsearch.com/listings/?codigo=CU155D029101,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1iXSPowHz38aJ_jDHn5IeG8i2xxrphbM7
Casalba Alana,Brm Real EstateEduardo Noriega,Tulum,Quintana Roo,Downtown,Residencial,Departamentos,,2,"Oct, 2022",Preventa,https://theredsearch.com/listings/?codigo=CU155D030045,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1BwpDIrv18F8eqz5K6jg1zsTfmCvMJUWu
Casalba Veleta,Brm Real EstateEduardo Noriega,Tulum,Quintana Roo,Region 15,Residencial,Departamentos,,5,"Oct, 2024",Preventa,https://theredsearch.com/listings/?codigo=CU155D036629,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/u/0/folders/1HwXUo_WVT_YcmuF4yWtMp4NpIWsyEE1I
Casas Aurora,Caoba listings,Tulum,Quintana Roo,South,Residencial,Departamentos,,2,,Preventa,https://theredsearch.com/listings/?codigo=CU155D035292,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1uq3byMleXE_DdvDNVGN8q-YxWLKzgmvv
Casas Cuatas,EdiforAndres Rivero,Mérida,Yucatán,Merida CentroYucatan,Residencial,Departamentos,,2,"Dec, 2023",Preventa,https://theredsearch.com/listings/?codigo=CU155D038731,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/u/1/folders/1w9ijuGu_g43wKcdOfw5WiRCp8zAr509L
Casas Ladera,EdiforAndres Rivero,Mérida,Yucatán,Merida NorteYucatan,Residencial,Departamentos,,11,"Feb, 2027",Preventa,https://theredsearch.com/listings/?codigo=CU155D051774,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1pwuKTl0HuPIzsU9vv7wktcj55fSjDrFH
Casas Pampa,Adoquin InmobiliariaFederico Edgar  Martínez Anzures,Tulum,Quintana Roo,Region 15,Residencial,Departamentos,,3,"Jul, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D050839,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1mD66kUhvPZ8V0LXrbpEIvQ7GltM2zDaP
Cave by Villamatisse,2507 GroupCarlosa Montesgil,Tulum,Quintana Roo,Downtown,Residencial,Departamentos,,5,"Dec, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D053842,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1fW3PYKwWSCGsXYH3GQkuP5BX2a7gJlOo
Cedrela,Isabel González,Cancún,Quintana Roo,Alfredo BonfilCancun,Residencial,Departamentos,,381,"Dec, 2027",Preventa,https://theredsearch.com/listings/?codigo=CU155D055678,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1rJrz5isb-iUUpRI-kXsQULI-JKcGChst?usp=drive_link
Ceiba at 25,Simcamartin barroso,Playa del Carmen,Quintana Roo,Little Italy,Residencial,Departamentos,,22,"Dec, 2025",Preventa,https://theredsearch.com/listings/?codigo=CU155D027975,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1wLmmckCcHJZpo4epx1wOL9y29ZVr1CRW
Ceiba Bacalar,Sur Selecto Real EstateNicolas Morini,,,Bacalar puebloBacalar,Residencial,Departamentos,,9,"Apr, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D043033,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1RIXKW6Cz_AWOtRn_jzrH6oPJIrBmoQDb
Central Condo Living,Central Condo LivingPaul Lopez,,,"PM, West sidePuerto Morelos",Residencial,Departamentos,,19,"Sep, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D045772,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/u/0/folders/1Z4qWgjW6JLWPsAzXTvDRuC_j3sywbIyy
Central Park II,Raven RealtyRodrigo Vazquez,Playa del Carmen,Quintana Roo,Little Italy,Residencial,Departamentos,,25,"Jul, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D033543,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1pCDI1tHjHiTrkdnLWI1dLc5JUcWK8BIG
Centuria 25,Be Broker Elite Real EstateCristopher Torres D,Playa del Carmen,Quintana Roo,Coco beach,Residencial,Departamentos,,2,"Jul, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D035489,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/19hQv0nzXKejWd7F--QWeoa3BkkJSzzqO
Centuria Zazil-Ha,Be Broker Elite Real EstateCristopher Torres D,Playa del Carmen,Quintana Roo,Coco beach,Residencial,Departamentos,,12,"Jan, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D042524,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/13Sf_iVPymmsL9nDtOAgNguZr7aQcP4Bb
Centurmex 25,Grupo CenturionHumberto Fernandez,Playa del Carmen,Quintana Roo,Coco beach,Residencial,Departamentos,,13,"Jul, 2027",Preventa,https://theredsearch.com/listings/?codigo=CU155D037120,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/146WoNxxlx1wT9hg9H56B4BK6Nb3oKsew
Ceren,Grupo OrigenYael Bedolla,Playa del Carmen,Quintana Roo,Coco beach,Residencial,Departamentos,,2,"Sep, 2022",Preventa,https://theredsearch.com/listings/?codigo=CU155D021565,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1FPSYKu49FGldQiBP4DX34okrG3T1D-NR
Chaan Ha dos,The Real Estate GroupPamela Linares,Tulum,Quintana Roo,Aldea Zama,Residencial,Departamentos,,10,"Feb, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D040029,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1P_q9xEHH0SpDjmb7Pt-wxeAmOH3BiWGG
Cheen Luum,MaxpropertiesLoli Peralta,Tulum,Quintana Roo,Luum Zama,Residencial,Departamentos,,6,,Preventa,https://theredsearch.com/listings/?codigo=CU155D051305,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/u/0/folders/16E6uyz9Yh1b5rlmqhx6qChz7yK03K1Wc
Cocay Oox,InverstarterDaniel Huerta,Tulum,Quintana Roo,Region 15,Residencial,Departamentos,,26,"Dec, 2025",Preventa,https://theredsearch.com/listings/?codigo=CU155D046760,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/u/0/folders/125ugHEC143anXygWhfEXubaDN_5q5pGX
Cocay Pi  Tulum,Cocay Lofts TulumEmmanuel Ortiz,Tulum,Quintana Roo,Region 15,Residencial,Departamentos,,2,"Dec, 2023",Preventa,https://theredsearch.com/listings/?codigo=CU155D032016,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1qvpAyLTP8aKQsPKlCanEy2THV7L5tCL1
Constelada,Grupo EmeritaAndres Hernandez,Tulum,Quintana Roo,Aldea Zama,Residencial,Departamentos,,22,"Dec, 2025",Preventa,https://theredsearch.com/listings/?codigo=CU155D036672,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1hedUhyk7W5mBY1_QhUxioVwEyuuV-GxO
Constituyentes 80,Caribbean Real EstateLeslie Suasteayala,Playa del Carmen,Quintana Roo,West Central,Residencial,Departamentos,,20,"May, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D056303,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/18AsgQuKlwAr8yFQWvJeGuQs-Zw0KN3AC
Copaura Tierra Mistica,Teca desarrollosDaniel Sosa,,,ValladolidYucatan,Residencial,Departamentos,,129,"Jun, 2025",Preventa,https://theredsearch.com/listings/?codigo=CU155D043257,TheRedSearch,2026-03-13,Info: https://colorful-star-387.notion.site/COPAURA-fa7c3dce0d0c49e784b6cabb1a5694e8
Costa Caribe,Simcamartin barroso,Tulum,Quintana Roo,Aldea Zama,Residencial,Departamentos,,41,"Jul, 2025",Preventa,https://theredsearch.com/listings/?codigo=CU155D019044,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1Ka-9_TXx8hbKDNrtYM1A5iYCqvYyeNbI
Costa Celeste,DESUR REAL ESTATEBruno Rovea,Playa del Carmen,Quintana Roo,Center,Residencial,Departamentos,,79,"Mar, 2027",Preventa,https://theredsearch.com/listings/?codigo=CU155D043029,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1HzomRN7pg8F07bhzRZ5Q4SdjtKL4GO_T
Costa Corasol,Origina,Playa del Carmen,Quintana Roo,Corasol,Residencial,Departamentos,,4,"Dec, 2023",Preventa,https://theredsearch.com/listings/?codigo=CU155D021608,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1PK6WmauL7egUQX_8DPaMpgKJWOGyCbb6
Costalina,Realtiq Real EstateAndrea Yareli Rasero Manzo,Playa del Carmen,Quintana Roo,Coco beach,Residencial,Departamentos,,20,"Oct, 2027",Preventa,https://theredsearch.com/listings/?codigo=CU155D056301,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1JHWlyS3uGXXoac4W8ycSpss_kplIcR9Z
Costera Mamitas,Inmova CapitalFrancisco  Hernandez,Playa del Carmen,Quintana Roo,Little Italy,Residencial,Departamentos,,17,"Dec, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D046267,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/119bfEAY4LJpTARtQmWi3bKeeET-IZXgh
Cotulum,Zepto RealtyAna Guerrero,Tulum,Quintana Roo,Downtown,Residencial,Departamentos,,20,"May, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D030584,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1LV9GgQLfNi5cGUpfgiBYtus_D8WhyYR7
Covalia,Calume,Mérida,Yucatán,Merida NorteYucatan,Residencial,Departamentos,,19,,Preventa,https://theredsearch.com/listings/?codigo=CU155D051226,TheRedSearch,2026-03-13,Info: https://www.dropbox.com/scl/fo/dm8twy3ir8gnog6upswl5/AAFRMOZdbeXjNwK_lBX0iJc?rlkey=cjgokr964jj2vmbg5fabn084n&e=1&dl=0
Cruz de Servicios,Adoquin InmobiliariaFederico Edgar  Martínez Anzures,Playa del Carmen,Quintana Roo,West Central,Residencial,Departamentos,,23,"Jan, 2015",Preventa,https://theredsearch.com/listings/?codigo=CU155D052344,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/12gLZOaCbnqLvbCLKJfn94NqGO5P3nBQ5
Cumbres novonorte,EdiforAndres Rivero,Mérida,Yucatán,Merida NorteYucatan,Residencial,Departamentos,,65,"May, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D038656,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/u/1/folders/14AKGJTttUZTI7vkXpsKQV1URELWzBtIZ
Cuore Cumbres,ELEVA Capital GroupEleva Capital,Cancún,Quintana Roo,Corredor Laguna CancunCancun,Residencial,Departamentos,,49,"Jun, 2027",Preventa,https://theredsearch.com/listings/?codigo=CU155D052805,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1scKkGzldOr_qp0PlmWohvAOAmddcahSz
Dalai,Vista Capital GroupJuan Carlos Zavala,Tulum,Quintana Roo,Region 15,Residencial,Departamentos,,80,"Nov, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D030631,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1GSuuP-TQznOdRdtC5X5TZmKyJ_FCPTcQ
Deck 48,DECKJesus Cortazar,,,COZ Zona Hotelera SurCozumel,Residencial,Departamentos,,2,"Jan, 2025",Preventa,https://theredsearch.com/listings/?codigo=CU155D028199,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/12vY4Co4517DYB3nPPNFHgY9CfvjlcIwY
Deja Vu,GAAL GROUP Luxury Real EstateGabriela Juarez Armenta,Tulum,Quintana Roo,Aldea Zama,Residencial,Departamentos,,5,"Sep, 2024",Preventa,https://theredsearch.com/listings/?codigo=CU155D027929,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1KgFSh6Ujv_clBjjh147uZruzGZEKMY5v
Distrito arte,Tsalach Real Estate,Tulum,Quintana Roo,Downtown,Residencial,Departamentos,,60,"Dec, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D029145,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1Lc7wkcBqEtNkp0rJJRRukWeZ8wyWRinM
Distrito Bondia,Dreambuilt Luxury Real EstateMarian Rangel,Tulum,Quintana Roo,South,Residencial,Departamentos,,20,"Dec, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D050984,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1L_CP8fbHSH6lpHoevXUdIv7ujIxI5yFL
Distrito Norte,Tsalach Real EstateArturo Ortiz,,,COZ DowntownCozumel,Residencial,Departamentos,,14,"Sep, 2025",Preventa,https://theredsearch.com/listings/?codigo=CU155D028310,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1HXW8E8lTpw_h90Gfielcr8l3aj_rgja4
Distrito Playa,Tsalach Real Estate,Playa del Carmen,Quintana Roo,Little Italy,Residencial,Departamentos,,6,"Dec, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D032551,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1-1RZx8byXIODxHhYAGR7A5aSKqMY0dLd
Distrito Xcalacoco,TM Grupo InmobiliarioJacobo Thule,Playa del Carmen,Quintana Roo,Zona Diamante,Residencial,Departamentos,,21,"Nov, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D050722,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1C7kh43US-Qxy3sG4wLeWKx3GIrHJvBAo?usp=share_link
Distrito Yaax,Distrito YaaxFernando Alvarez,Cancún,Quintana Roo,Corredor Laguna CancunCancun,Residencial,Departamentos,,269,"Mar, 2027",Preventa,https://theredsearch.com/listings/?codigo=CU155D032243,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1PjOHTGKlvAKmBCl8hKKdtye3wZqfMdEP
Distrito Zen,Tsalach Real Estate,Cancún,Quintana Roo,Puerto CancunCancun,Residencial,Departamentos,,13,"Jun, 2027",Preventa,https://theredsearch.com/listings/?codigo=CU155D044874,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/u/1/folders/1V4op2SyAlb5_9caRy7KazOSDk4VbG76y
Dithea,Concepto Master BrokerRosy Aguilar,Mérida,Yucatán,Merida NorteYucatan,Residencial,Departamentos,,24,"Nov, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D043656,TheRedSearch,2026-03-13,Info: https://bit.ly/3ZmYZH5
DK 40,DK del KaribeAldo Vazquez,Playa del Carmen,Quintana Roo,Coco beach,Residencial,Departamentos,,2,"Jul, 2027",Preventa,https://theredsearch.com/listings/?codigo=CU155D051562,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1KkeM870dlG8cGt09y8SZEodmryx_27ws
DK 44 Deluxe,DK del KaribeAldo Vazquez,Playa del Carmen,Quintana Roo,Coco beach,Residencial,Departamentos,,3,"Apr, 2027",Preventa,https://theredsearch.com/listings/?codigo=CU155D051563,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/folders/1RROHfxIbVhZT386y1dd-K_rrcKncFeuu
Dorada,NEW MERIDARosa Elena Alvarez,,,ChicxulubCosta Yucateca,Residencial,Departamentos,,32,"Dec, 2026",Preventa,https://theredsearch.com/listings/?codigo=CU155D038441,TheRedSearch,2026-03-13,Info: https://drive.google.com/drive/u/1/folders/12xyaZUJbAAcUhmJ0kik0OSvrUEPBQxTC
